,chemical name inn,sccs opinions,chemical iupac name,identified ingredient substance,cmr
0,N-(5-Chlorobenzoxazol-2-yl)acetamide,,,,
1,(2-Acetoxyethyl)trimethylammonium hydroxide (Acetylcholine) and its salts,,,,
2,Deanol aceglumate (INN),,,,
3,Spironolactone (INN),,,SPIRONOLACTONE,
4,"[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid (Tiratricol (INN)) and its salts",,"Triiodothyroacetic acid; (4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl)acetic acid ",,
5,Methotrexate (INN),,,,
6,Aminocaproic acid (INN) and its salts,,,6-AMINOCAPROIC ACID,
7,"Cinchophen (INN), its salts, derivatives and salts of these derivatives",,,,
8,Thyropropic acid (INN) and its salts,,"4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodobenzenepropanoic acid 
",,
9,Trichloroacetic acid,,,,
10,"Aconitum napellus L. (leaves, roots and galenical preparations)",,,,
11,Aconitine (principal alkaloid of Aconitum napellus L.) and its salts,,"Aconitane-3,8,13,14,15-pentol, 20-ethyl-1,6,16-trimethoxy-4-(methoxymethyl)-, 8-acetate 14-benzoate, 
(1alpha,3alpha,6alpha,14alpha,15alpha,16beta)- 
",,
12,Adonis vernalis L. and its preparations,,,,
13,Epinephrine (INN),,"Adrenaline; Benzyl alcohol, 3,4-dihydroxy-alpha-((methylamino)methyl)-, (-)- 

",,
14,"Rauwolfia serpentia L., alkaloids and their salts",,,RAUWOLFIA SERPENTINA EXTRACT,
15,"Alkyne alcohols, their esters, ethers and salts","Opinion on Clarifications to SCCNFP/0392/00 ""An initial List of Perfumery Materials which must not form part of Cosmetic Products except subject to the Restrictions and Conditions laid down""",,TETRAMETHYL DECYNEDIOL,
16,Isoprenaline (INN),,"1,2-Benzenediol, 4-(1-hydroxy-2-((1-methylethyl)amino)ethyl)-",,
17,Allyl isothiocyanate,,,,
18,Alloclamide (INN) and its salts,,,,
19,"Nalorphine (INN), its salts and ethers",,,,
20,Sympathicomimetic amines acting on the central nervous system: any substance contained in the first list of medicaments which are subject to medical prescription and referred to in Resolution AP (69) 2 of the Council of Europe,,,OCTOPAMINEN-NICOTINOYL TYRAMINEN-NICOTINOYL DOPAMINEN-CYCLOHEXANOYL TYRAMINEN-ADAMANTANOYL TYRAMINE,
21,"Aniline, its salts and its halogenated and sulphonated derivatives",,Aminobenzene; Aniline,,"Carcinogenic Cat. 2(),Mutagenic Cat. 2()"
22,Betoxycaine (INN) and its salts,,"Benzoic acid, 3-amino-4-butoxy-, 2-(2-(diethylamino)ethoxy)ethyl ester 
",,
23,Zoxazolamine (INN),,,,
24,"Procainamide (INN), its salts and derivatives",,,,
25,Benzidine,,,,Carcinogenic Cat. 1A(C=>0.01%)
26,"Tuaminoheptane (INN), its isomers and salts",,,,
27,Octodrine (INN) and its salts,,"(1)-1,5-Dimethylhexylamine; 2-Heptanamine, 6-methyl- 
 
",,
28,"2-Amino-1,2-bis(4-methoxyphenyl)ethanol and its salts",,"Evadol hydrochloride; Benzeneethanol, beta-amino-4-methoxy-alpha-(4-methoxyphenyl)-, hydrochloride ",,
29,"1,3-Dimethylpentylamine and its salts",,,,
30,4-Aminosalicylic acid and its salts,,,,
31,"Toluidines, their isomers, salts and halogenated and sulphonated derivatives",,,,
32,"Xylidines, their isomers, salts and halogenated and sulphonated derivatives",,,,
33,"Imperatorin (9-(3-methylbut-2-enyloxy)furo[3,2-g]chromen-7-one)",Opinion on Furocoumarins in cosmetic products,,,
34,Ammi majus L. and its galenical preparations,,,AMMI MAJUS EXTRACT,
35,"2,3-Dichloro-2-methylbutane",,"Amylene dichloride; Butene, 2,3-dichloro-2-methyl- 
",,
36,Substances with androgenic effect,,,PRASTERONETESTOSTERONECORNYEABACTERIUM LIPOPHILICUS/PRASTERONE FERMENT FILTRATE EXTRACT,
37,Anthracene oil,,,,Carcinogenic Cat. 1B()
38,"Distillates (coal tar), pitch, pyrene fraction",,"Distillates (coal tar), pitch, pyrene fraction",,Carcinogenic Cat. 1B()
39,"Distillates (coal tar), pitch",,"Distillates (coal tar), pitch",,Carcinogenic Cat. 1B()
40,Antibiotics,"Opinion concerning Tyrothricin and salts; 3,4',5-Tribromosalicylanilide",,,
41,Antimony and its compound,,,ANTIMONY POTASSIUM TARTRATE,
42,Apocynum cannabium L. and its preparations,,,APOCYNUM CANNABINUM ROOT EXTRACT,
43,"Apomorphine ((R)-5,6,6a,7-tetrahydro-6-methyl-4H-dibenzo[de,g]quinoline-10,11-diol)) and its salts",,,,
44,Arsenic and its compounds,,,,
45,Atropa belladonna L. and its preparations,,,,
46,"Atropine, its salts and derivatives",,,,
