ingredient,description,label,sccs opinions,chemical iupac name,identified ingredient substance,cmr
glycerin,"Glycerin doesn’t sound very glamorous but it is a real oldie but a goodie . It’s been used in cosmetics for more than  50 years and it’s a totally natural ingredient that’s also in the outermost layer of our skin (called stratum corneum - SC). It’s a so-called humectant type of moisturiser meaning that it helps our skin to cling onto water. A 2005 study has shown that glycerin levels correlate with skin hydration levels , so more glycerin means better hydrated skin. As newer studies examine glycerin it turns out more and more that it’s not just a simple humectant but also does some other important things: It makes sure that the gooey stuff between the skin cells is neither too diluted nor too concentrated (it’s called osmoregulation) It helps to maintain the healthy state of the cell membranes and intracellular lipids (keeping the lipids in a nice liquid crystal state that is optimal for barrier function) It can normalize skin shedding in very dry skin. It protects against skin irritation (such as washing your face too much and/or too aggressively) What this all means is that glycerin is a real superstar and helps to maintain the healthy state of our skin in several ways. And there is even more. If your skin is severely dry, you have to read this. A large-scale study done with 394 guys and girls with dry skin compared two high-glycerin (containing 25% and 40% glycerin) moisturizers to 16 other popular moisturizers on the market (that had less than 6% glycerin). The two high-glycerin ones won hands down . They had superior, quick-acting hydrating properties and they also seemed to create a “reservoir” of moisture-holding ability in the skin . This means that even after not using the high-glycerin moisturizer the skin stayed hydrated longer compared to all the other low glycerin moisturizers. You might think now that this is sooo awsome I will go to the pharmacy right now buy some glycerin and put it on my face. Well, do not do that. 100% pure glycerin is not good for the skin either. Too much glycerin (and in general humectants) might attract water out of the lower layers of the skin . That’s a problem because once water is in the upper layer some of it will evaporate. It’s called trans-epidermal-water-loss (TEWL). If too much TEWL happens your skin becomes dry. :( This is confirmed by a study too: skin treated to 99.7% glycerin for 5 days showed that after the treatment the SC (do you remember? it’s the outermost layer of the skin) was not visibly different from the untreated control. The same study also examined skin treated with a 25% glycerin lotion and there the SC had a visibly different, expanded - in other words more hydrated - appearance. So the thing to know about the optimal amount of glycerin is this: it is an effective molecule already from 3% (even from 1%, at least when combined with skin lipids), and the benefits tend to increase up until 20-40%. Around 10%, glycerin seems to have a reals sweet spot in terms of effects and usability. This amount is still possible to formulate into a relatively light, non-sticky and not too heavy formula (yes, glycerin is sticky and high % is really hard to formulate into a cosmetically elegant formula) but 10% also shows all the great therapeutic effects including effective moisturization with a reservoir effect, protecting against irritation, maintaining a healthy skin barrier and making the skin just smooth and plump. So bottom line: glycerin is a real goodie and far more than a simple moisturizer. In our opinion, it is an underappreciated superstar that deserves more spotlight than it is currently getting.",safe,,,,
squalene,"Squalene is an oily liquid that originally comes from shark liver but luckily it can also be found in a couple of plant oils. Olive (0.6%), peanut (0.1%) and pumpkin (0.35%) oils contain it, though not in huge amounts. What contains more of it, is the sebum (the oily stuff) that our skin produces. About 13% of human sebum is squalene, which means that it’s an important skin-identical ingredient and NMF (natural moisturizing factor) . Chemically speaking, it is an unsaturated (has double bonds) hydrocarbon (contains only carbon and hydrogen) molecule, that can undergo oxidation. On the pro side, this means that squalene can act as an antioxidant (while its no-double-bond version sister, squalane cannot), but on the con side, squalene is less stable and has a shorter shelf life . This is probably the main reason why its no-double bond and hence more stable sister, squalane shows up more often on ingredient lists. Read about squalane here >>",safe,,,,
ceteareth-20,"A common functional ingredient that helps to keep the oil-loving and water-loving ingredients together (emulsifier), stabilizes and thickens the products. Chemically speaking, it is ethoxylated Cetearyl alcohol , meaning that some ethylene oxide is added to the fatty alcohol to increase the water-soluble part in the molecule. The result is that the mainly oil soluble, emollient fatty alcohol is converted to an emulsifier molecule that keeps oil and water mixed in creams. The number in the name of Ceteareth emulsifiers refers to the average number of ethylene oxide molecules added and 20 makes a good emulsifier.",safe,,,,
glyceryl stearate,"A super common, waxy, white, solid stuff that helps water and oil to mix together, gives body to creams and leaves the skin feeling soft and smooth . Chemically speaking, it is the attachment of a glycerin molecule to the fatty acid called stearic acid . It can be produced from most vegetable oils (in oils three fatty acid molecules are attached to glycerin instead of just one like here) in a pretty simple, ""green"" process that is similar to soap making. It's readily biodegradable. It also occurs naturally in our body and is used as a food additive. As cosmetic chemist Colins writes it , ""its safety really is beyond any doubt"".",safe,,,,
glyceryl stearate se,"An oily kind of ingredient that can magically blend with water all by itself. This is called self-emulsifying and SE in its name stands for that. The difference between ""normal"" Glyceryl Stearate and this guy is that the SE grade contains a small amount of water-loving soap molecules, such as sodium stearate . This increases Glyceryl Stearate's affinity for water and gives it stronger emulsifying abilities. Other than that, it’s a nice emollient that gives a smooth and soft appearance to the skin. You can read some more at Glyceryl Stearate >>",safe,,,,
squalane,"It seems to us that squalane is in fashion and there is a reason for it. Chemically speaking, it is a saturated  (no double bonds) hydrocarbon (a molecule consisting only of carbon and hydrogen), meaning that it's a nice and stable oily liquid with a long shelf life. It occurs naturally in certain fish and plant oils (e.g. olive), and in the sebum (the oily stuff our skin produces) of the human skin . As f.c. puts it in his awesome blog post , squalane's main things are "" emolliency , surface occlusion, and TEWL prevention all with extreme cosmetic elegance "". In other words, it's a superb moisturizer that makes your skin nice and smooth, without being heavy or greasy. Another advantage of squalane is that it is pretty much compatible with all skin types and skin conditions . It is excellent for acne-prone skin and safe to use even if you have fungi-related skin issues, like seborrhea or fungal acne. The unsaturated (with double bonds) and hence less stable version of Squal a ne is Squal e ne, you can read about it here >>",safe,,,,
xanthan gum,"It's one of the most commonly used thickener s and emulsion stabilizers . If the product is too runny, a little xanthan gum will make it more gel-like. Used alone, it can make the formula sticky and it is a good team player so it is usually combined with other thickeners and so-called rheology modifiers (helper ingredients that adjust the flow and thus the feel of the formula). The typical use level of Xantha Gum is below 1%, it is usually in the 0.1-0.5% range. Btw, Xanthan gum is all natural, a chain of sugar molecules (polysaccharide) produced from individual sugar molecules ( glucose and sucrose ) via fermentation. It’s approved by Ecocert and also used in the food industry (E415).",safe,,,,
carbomer,"A big molecule created from repeated subunits (a polymer of acrylic acid) that magically converts a liquid into a nice gel formula .  It usually has to be neutralized with a base (such as sodium hydroxide ) for the thickening to occur and it creates viscous, clear gels that also feel nice and non-tacky on the skin. No wonder, it is a very popular and common ingredient. Typically used at 1% or less in most formulations.",safe,,,,
laureth-23,"A white waxy solid that helps water and oil to mix nicely together (emulsifier). It is derived from the fatty alcohol lauryl alcohol by ethoxylating it and thus making the molecule a lot more water-soluble. In fact, Laureth-23 is mostly water-soluble acting as a solubilizer for dissolving small amounts of oily things into water-based formulas.",safe,,,,
lactic acid,"Lactic acid is the second most well-known and most well researched among the AHAs . The no. 1 is glycolic acid. If you're new to AHAs we strongly suggest that you head over to our description about glycolic acid . There you will find a super detailed geeky description and many of the things we wrote are true to all AHAs and to lactic acid as well. Here we will focus mainly on the differences. :)  But before we dive in, just a short intro. Lactic acid is probably one of oldest actives, about which women have noticed that it has some nice benefits to the skin. Legend has it that in ancient Egypt Cleopatra bathed in sour milk . And yes, you guessed it right: sour milk is a major natural source of lactic acid. As an AHA it’s also true of lactic acid that it can gently lift away dead skin cells revealing the fresher, smoother, nicer skin underneath . This is an awesome property of AHAs and this alone makes us a total fan! But just like glycolic acid, lactic acid also knows some more. However the “some more” is a bit different for the two of them. The differences stem from the fact that the molecule of lactic acid is larger . Because of the larger molecule it can penetrate the skin less effectively. This means on the one hand that lactic acid is more gentle and on the other hand that the anti-aging properties are probably a little less effective. While the collagen boosting ability of lactic acid is not so well proven there are studies that show that it also has great anti-aging properties (if used in the right concentration at the right pH). A study done in 1996 compared a 5% and a 12% lactic acid treatment and examined their effect on the outer (epidermis) and middle (dermis) layer of the skin. The result was that both treatments had nice exfoliation effect, but the 5% treatment only affected the epidermis while the 12% treatment affected both the dermis and the epidermis. Another study has compared multiple AHAs including lactic acid and glycolic acid in terms of skin benefits and skin irritation. The result was that both of them are very effective AHA versions (more effective than citric, malic and hydroxybutyric acids) and after six weeks of use both lactic and glycolic acid improved skin firmness, thickness and wrinkles to a similar extent. This study also compared the different versions of lactic acid, L and D . Lactic acid is like our hands, it has “a left and a right-handed” version. Surprisingly these two versions are not equal: the L-lactic acid showed the same effectiveness with less irritation potential so that version is the better choice for a cosmetic product. BTW, the reason for this is not understood. Other than that lactic acid has one more magic property: it’s an amazing moisturizer ingredient . In fact, it’s so great with moisturizing and treating dry skin that in the USA there is even an FDA-approved, prescription product, called LacHydrin that contains 12% lactic acid to hydrate skin. As for choosing the right product concentration and pH value is very important here too. You can read in detail about both things at the glycolic acid description . The exact same thing is true for lactic acid: pH 3-4 is the best for at-home products . The other good-to-know things listed out at glycolic acid also apply here. The only difference: it’s more gentle, so probably it will cause less stinging or burning (though it depends on the concentration and pH of course). So bottom line : lactic acid is also a superstar. It’s a gentle, moisturizing AHA  that can give you a fresh, smooth, even complexion and also some anti-aging benefits. You have to give it a try if you have not done so so far!",safe,,,,
